datetime,y,week,soldout,name,kcal,remarks,event,payday,weather,precipitation,temperature
2013-11-18,90,月,0,厚切りイカフライ,,,,,快晴,--,19.8
2013-11-19,101,火,1,手作りヒレカツ,,,,,快晴,--,17.0
2013-11-20,118,水,0,白身魚唐揚げ野菜あん,,,,,快晴,--,15.5
2013-11-21,120,木,1,若鶏ピリ辛焼,,,,,快晴,--,15.2
2013-11-22,130,金,1,ビッグメンチカツ,,,,,快晴,--,16.1
2013-11-25,135,月,1,鶏の唐揚,,,,,曇,--,14.6
2013-11-26,145,火,0,豚のスタミナ炒め,,,,,快晴,--,17.9
2013-11-27,140,水,1,ボローニャ風カツ,,,,,晴れ,--,14.7
2013-11-28,151,木,0,ハンバーグ,,,,,薄曇,--,17.7
2013-11-29,116,金,0,タルタルinソーセージカツ,,,,,快晴,--,12.1
2013-12-2,151,月,1,マーボ豆腐,,,,,快晴,--,13.8
2013-12-3,153,火,1,厚揚げ豚生姜炒め,,,,,快晴,--,13.9
2013-12-4,151,水,1,クリームチーズ入りメンチ,,,,,晴れ,--,13.5
2013-12-5,171,木,0,鶏のカッシュナッツ炒め,,,,,快晴,--,13.8
2013-12-6,134,金,0,手作りロースカツ,,,,,快晴,--,14.9
2013-12-9,165,月,1,ハンバーグデミソース,,,,,曇,--,9.1
2013-12-10,155,火,0,やわらかロースのサムジョン,,,,1.0,曇,0.5,7.1
2013-12-11,157,水,0,五目御飯,,,,,曇,--,11.0
2013-12-12,109,木,0,肉じゃが,,,,,快晴,--,12.3
2013-12-13,111,金,1,タンドリーチキン,,,,,快晴,--,13.9
2013-12-16,160,月,0,カキフライタルタル,,,,,快晴,--,11.3
2013-12-17,145,火,0,手作りヒレカツ,,,ママの会,,曇,--,10.8
2013-12-18,145,水,1,回鍋肉,,,,,曇,--,7.8
2013-12-19,151,木,0,ポーク味噌焼き,,,,,雨,0.5,6.8
2013-12-20,134,金,1,鶏の唐揚げ甘酢あん,,,,,曇,--,8.4
2013-12-24,122,火,0,さっくりメンチカツ,,,,,快晴,--,11.5
2013-12-25,121,水,1,手ごね風ハンバーグ,,,,,快晴,--,8.0
2013-12-26,80,木,0,酢豚,,,,,曇,--,7.3
2014-1-7,131,火,0,カレー入りソーセージカツ,404.0,,,,快晴,--,7.3
2014-1-8,128,水,0,豚肉の生姜焼,462.0,,,,曇,--,9.8
2014-1-9,129,木,1,鶏チリソース,435.0,,,,曇,--,10.9
2014-1-10,87,金,0,手作りロースカツ,440.0,,,1.0,快晴,--,5.1
2014-1-14,129,火,1,鶏の照り焼きマスタード,376.0,,,,晴れ,--,5.8
2014-1-15,134,水,0,さんま辛味焼,450.0,,,,曇,--,2.9
2014-1-16,107,木,0,カレイ唐揚げ野菜あんかけ,415.0,,,,快晴,--,7.0
2014-1-17,85,金,1,回鍋肉,430.0,,ママの会,,快晴,--,7.8
2014-1-20,126,月,1,ジューシーメンチカツ,375.0,,,,晴れ,--,6.5
2014-1-21,129,火,1,サバ焼味噌掛け,447.0,,,,快晴,--,10.4
2014-1-22,126,水,1,手作りひれかつとカレー,426.0,,,,快晴,--,7.4
2014-1-23,107,木,0,酢豚,400.0,,,,快晴,--,8.5
2014-1-24,92,金,1,鶏のレモンペッパー焼orカレー,418.0,鶏のレモンペッパー焼（50食）、カレー（42食）,,,快晴,--,10.1
2014-1-27,126,月,1,チンジャオロース,415.0,,,,快晴,--,5.1
2014-1-28,120,火,0,海老フライタルタル,445.0,,,,快晴,--,12.6
2014-1-29,121,水,1,チーズ入りメンチカツ,450.0,,,,快晴,--,10.3
2014-1-30,105,木,1,鶏の唐揚げ,448.0,,,,曇,--,15.3
2014-1-31,92,金,1,メダイ照り焼,460.0,,,,快晴,--,14.1
2014-2-3,139,月,1,ハンバーグカレーソース,445.0,,,,晴れ,--,15.9
2014-2-4,121,火,1,さわら焼味噌掛け,430.0,,,,雨,0,3.8
2014-2-5,126,水,1,鶏のピリ辛焼き,420.0,,,,快晴,--,3.0
2014-2-6,111,木,1,手作りロースカツ,435.0,,,,曇,--,4.2
2014-2-7,91,金,1,ホタテクリ―ムシチュー,425.0,,,,晴れ,--,5.5
2014-2-10,137,月,0,鶏の唐揚げおろしソース,423.0,,,1.0,曇,--,7.8
2014-2-12,111,水,0,ますのマスタードソース,415.0,,,,曇,--,6.3
2014-2-13,84,木,0,回鍋肉,438.0,,,,曇,--,6.4
2014-2-14,86,金,1,ロース甘味噌焼き,432.0,,,,雪,0.5,1.2
2014-2-17,137,月,1,チンジャオロース,416.0,,,,晴れ,--,11.6
2014-2-18,99,火,0,海老フライとホタテ串カツ,426.0,,,,晴れ,--,6.8
2014-2-19,113,水,0,ハンバーグ和風きのこソース,405.0,,,,薄曇,--,7.3
2014-2-20,85,木,1,タンドリーチキン,426.0,,,,薄曇,--,5.4
2014-2-21,113,金,0,酢豚orカレー,410.0,酢豚（28食）、カレー（85食）,ママの会,,快晴,--,8.5
2014-2-24,129,月,1,ポークハヤシ,408.0,,,,曇,--,6.6
2014-2-25,104,火,0,マーボ豆腐,396.0,,,,快晴,--,10.5
2014-2-26,104,水,0,鶏チリソース,384.0,,,,晴れ,--,11.5
2014-2-27,90,木,1,白身魚唐揚げ野菜あんかけ,436.0,,,,雨,0,8.5
2014-2-28,69,金,0,手作りひれかつ,428.0,,,,晴れ,--,17.7
2014-3-3,131,月,0,ハンバーグカレーソース,407.0,,,,曇,--,7.8
